"simulation","esd_qalys_mean","esd_qalys_sd","surgery_qalys_mean","surgery_qalys_sd","esd_costs_mean","esd_costs_sd","surgery_costs_mean","surgery_costs_sd","delta_qalys","delta_costs","icer"
1,16.9939766461815,3.26742026645696,15.5436529582464,4.80860811595252,132120.20614905,36099.1772101722,172437.688891419,22838.110426176,-1.45032368793512,40317.4827423686,-27798.9548662547
2,13.4809966421447,2.47947407494742,13.436863538413,3.85985116757356,115476.823192426,27875.262112888,135108.122056766,16196.6242106068,-0.0441331037316584,19631.29886434,-444820.264255688
3,10.8740235937623,2.1451875982423,11.9750884466476,3.37937402182032,110083.092991591,21045.7576438983,118985.420947113,13361.5155526714,1.10106485288536,8902.32795552193,8085.19855319442
4,13.3019853342053,2.63292381931461,11.0782795945235,3.26357102019764,115059.757217403,23179.0933011183,124576.172660359,16600.7058304479,-2.22370573968184,9516.41544295635,-4279.53000846143
5,14.4744690591135,3.12281018675096,10.8196535485675,3.28732094497489,110378.742122726,25197.5390925931,122140.649083445,13418.4717980188,-3.65481551054597,11761.9069607189,-3218.1944414923
6,10.4823888093995,2.73105276359953,13.8269643694229,4.1100405952,120959.624780751,25883.070499973,130813.924977784,22436.7795460754,3.34457556002341,9854.3001970324,2946.35298864751
7,14.5305030936154,3.46031401518404,17.8548278663004,5.40818960919464,131541.320298675,34376.1924436866,161257.717200388,19446.8657179904,3.324324772685,29716.3969017128,8939.0775371539
8,12.6935800824628,2.70308671507853,8.93533205173598,2.77962876220225,125314.236205541,28789.8029485235,145038.639799804,20406.431979211,-3.75824803072682,19724.4035942623,-5248.29746014599
9,13.7322599035309,2.66984113113372,14.0833423797615,4.2379173116333,123154.34468604,33211.0711953981,152118.987032197,19138.0994572631,0.351082476230614,28964.642346157,82500.9628994732
10,14.8799092701607,2.86475809043531,12.7861603497692,3.88188842856537,124128.854739275,18289.8018411281,107703.312132559,14355.2435760252,-2.09374892039151,-16425.5426067165,7845.03932001795
11,14.7537388757508,2.98002174798439,16.1003820802073,4.92148728356317,133482.829804076,27873.8969465224,143667.129233289,17379.4366003755,1.34664320445645,10184.2994292135,7562.73034721487
12,13.4549621456135,2.46098883137936,13.0646065233923,3.83453182661752,133388.578479666,25000.7240672437,137987.319584725,15899.8893813649,-0.390355622221216,4598.74110505811,-11780.9014223753
13,13.5492748626293,3.1230389760716,9.30591104824865,2.64799691669609,112013.057176559,36167.5490631708,156285.10684717,25503.8933566173,-4.24336381438062,44272.049670611,-10433.2439091304
14,15.7743901202771,2.93109973271066,15.9021056630362,4.68702152453971,131108.340918833,20785.1424656257,124719.005873719,16578.444543092,0.127715542759139,-6389.33504511358,-50027.8580592444
15,16.113174415015,3.08958449464514,13.4531542205094,3.66602154770186,118524.592105206,25815.0899462294,133429.670133941,16864.967859521,-2.66002019450553,14905.0780287354,-5603.37025242251
16,12.4357115000501,2.71041982924973,14.4426036808437,4.33610272258658,110083.239623146,18123.5954613819,107521.552825223,14975.7856486429,2.00689218079361,-2561.68679792331,-1276.44465529299
17,12.3689940462137,2.86799001948428,15.0551713764642,4.6022911169244,124888.334916474,21235.2559522782,119479.454020539,15036.5872097009,2.68617733025059,-5408.88089593533,-2013.59784963666
18,14.010342578559,3.74949944361586,8.30050253100653,2.41492035854922,154470.268188828,31689.4089838959,173330.46638425,26319.0895539575,-5.70984004755249,18860.1981954221,-3303.10447199068
19,10.1905863118618,3.47594054663892,15.2180220349436,4.60837459689121,90866.3994521123,19953.6971817817,99347.8891117176,16059.738556667,5.02743572308185,8481.48965960526,1687.04089455888
20,13.5549787561548,2.42092734316775,13.139984804057,3.9034030399948,121863.622131071,28995.9559984818,143245.94022548,17785.676593676,-0.414993952097818,21382.3180944094,-51524.4089373366
21,13.5996805682818,2.7059719605494,15.2214914135913,4.65500703066693,121295.679640769,24414.8993102579,130990.40474327,16415.1522107356,1.62181084530943,9694.72510250111,5977.71628580483
22,14.7543695774184,2.77097113096113,13.3326180686757,3.92561598786939,130106.238246703,28087.5267757613,146387.905471115,22512.6366025486,-1.42175150874275,16281.6672244124,-11451.8374865733
23,15.0869959025651,2.7408086804453,14.5150744883395,4.32801315836819,106633.810280495,36602.3937324653,152990.220670833,21323.938784038,-0.571921414225599,46356.4103903384,-81053.8113057132
24,14.0030461442058,3.05091205420899,10.2797552174662,3.02262423157332,109032.925403795,40166.5508864952,152636.110265157,17552.6962293385,-3.7232909267396,43603.184861362,-11710.9260918121
25,10.4491046491892,3.06909540975078,14.460202229634,4.45283114116438,86994.8061591493,29027.9364785111,122328.532770047,18458.3094445923,4.0110975804448,35333.7266108978,8808.99202830653
26,13.3107671081654,3.46668111863861,7.64723524644689,2.21752942022521,121380.670440951,28763.7597644971,134666.794242056,12145.9253065836,-5.66353186171856,13286.1238011049,-2345.90784081389
27,13.7874198067871,2.60800714903038,12.0539028848713,3.5751036408756,124478.040946861,25089.8063083919,137251.77839065,16905.9936563318,-1.7335169219158,12773.7374437891,-7368.68344479282
28,15.6193162393787,2.90349888259738,15.7508462417506,4.79285031437386,94779.1909612523,32227.0347084492,132419.098391643,19555.238736154,0.131530002371838,37639.9074303903,286169.746458163
29,15.1117646953086,2.94144293643887,15.3770601995868,4.7377514503915,119534.762212477,29716.6862088434,144715.138309311,20462.1655710868,0.265295504278212,25180.3760968339,94914.4470628782
30,14.4558712113107,2.72153003883844,12.1841959856488,3.63132838350231,106292.104510557,23594.7724199224,118018.698597666,14935.0739693873,-2.27167522566186,11726.5940871091,-5162.09093388008
