simulation,esd_qalys,surgery_qalys,esd_cost,surgery_cost,delta_qalys,delta_cost,icer
1,16.9939766461815,15.5436529582464,132120.20614905,172437.688891419,-1.45032368793512,40317.4827423686,-27798.9548662547
2,13.4809966421447,13.436863538413,115476.823192426,135108.122056766,-0.0441331037316584,19631.29886434,-444820.264255688
3,10.8740235937623,11.9750884466476,110083.092991591,118985.420947113,1.10106485288536,8902.32795552193,8085.19855319442
4,13.3019853342053,11.0782795945235,115059.757217403,124576.172660359,-2.22370573968184,9516.41544295635,-4279.53000846143
5,14.4744690591135,10.8196535485675,110378.742122726,122140.649083445,-3.65481551054597,11761.9069607189,-3218.1944414923
6,10.4823888093995,13.8269643694229,120959.624780751,130813.924977784,3.34457556002341,9854.3001970324,2946.35298864751
7,14.5305030936154,17.8548278663004,131541.320298675,161257.717200388,3.324324772685,29716.3969017128,8939.0775371539
8,12.6935800824628,8.93533205173598,125314.236205541,145038.639799804,-3.75824803072682,19724.4035942623,-5248.29746014599
9,13.7322599035309,14.0833423797615,123154.34468604,152118.987032197,0.351082476230614,28964.642346157,82500.9628994732
10,14.8799092701607,12.7861603497692,124128.854739275,107703.312132559,-2.09374892039151,-16425.5426067165,7845.03932001795
11,14.7537388757508,16.1003820802073,133482.829804076,143667.129233289,1.34664320445645,10184.2994292135,7562.73034721487
12,13.4549621456135,13.0646065233923,133388.578479666,137987.319584725,-0.390355622221216,4598.74110505811,-11780.9014223753
13,13.5492748626293,9.30591104824865,112013.057176559,156285.10684717,-4.24336381438062,44272.049670611,-10433.2439091304
14,15.7743901202771,15.9021056630362,131108.340918833,124719.005873719,0.127715542759139,-6389.33504511358,-50027.8580592444
15,16.113174415015,13.4531542205094,118524.592105206,133429.670133941,-2.66002019450553,14905.0780287354,-5603.37025242251
16,12.4357115000501,14.4426036808437,110083.239623146,107521.552825223,2.00689218079361,-2561.68679792331,-1276.44465529299
17,12.3689940462137,15.0551713764642,124888.334916474,119479.454020539,2.68617733025059,-5408.88089593533,-2013.59784963666
18,14.010342578559,8.30050253100653,154470.268188828,173330.46638425,-5.70984004755249,18860.1981954221,-3303.10447199068
19,10.1905863118618,15.2180220349436,90866.3994521123,99347.8891117176,5.02743572308185,8481.48965960526,1687.04089455888
20,13.5549787561548,13.139984804057,121863.622131071,143245.94022548,-0.414993952097818,21382.3180944094,-51524.4089373366
21,13.5996805682818,15.2214914135913,121295.679640769,130990.40474327,1.62181084530943,9694.72510250111,5977.71628580483
22,14.7543695774184,13.3326180686757,130106.238246703,146387.905471115,-1.42175150874275,16281.6672244124,-11451.8374865733
23,15.0869959025651,14.5150744883395,106633.810280495,152990.220670833,-0.571921414225599,46356.4103903384,-81053.8113057132
24,14.0030461442058,10.2797552174662,109032.925403795,152636.110265157,-3.7232909267396,43603.184861362,-11710.9260918121
25,10.4491046491892,14.460202229634,86994.8061591493,122328.532770047,4.0110975804448,35333.7266108978,8808.99202830653
26,13.3107671081654,7.64723524644689,121380.670440951,134666.794242056,-5.66353186171856,13286.1238011049,-2345.90784081389
27,13.7874198067871,12.0539028848713,124478.040946861,137251.77839065,-1.7335169219158,12773.7374437891,-7368.68344479282
